cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      9.015203E+00
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 5.000000E-01  -3.725290E-07   0.000000E+00
 4.998779E-01  -3.728979E-07   1.638400E-03
 4.997559E-01  -3.726100E-07   3.276800E-03
 4.996338E-01  -3.726412E-07   4.915200E-03
 4.995117E-01  -3.726388E-07   6.553600E-03
 4.993896E-01  -3.726149E-07   8.192000E-03
 4.992676E-01  -3.726056E-07   9.830400E-03
 4.991455E-01  -3.726007E-07   1.146880E-02
 4.990234E-01  -3.725957E-07   1.310720E-02
 4.989014E-01  -3.725922E-07   1.474560E-02
 4.987793E-01  -3.725899E-07   1.638400E-02
 4.986572E-01  -3.725864E-07   1.802240E-02
 4.985352E-01  -3.725841E-07   1.966080E-02
 4.984131E-01  -3.725832E-07   2.129920E-02
 4.982910E-01  -3.725811E-07   2.293760E-02
 4.981689E-01  -3.725806E-07   2.457600E-02
 4.980469E-01  -3.725782E-07   2.621440E-02
 4.979248E-01  -3.725774E-07   2.785280E-02
 4.978027E-01  -3.725765E-07   2.949120E-02
 4.976807E-01  -3.725759E-07   3.112960E-02
 4.975586E-01  -3.725753E-07   3.276800E-02
 4.974365E-01  -3.725747E-07   3.440640E-02
 4.973145E-01  -3.725739E-07   3.604480E-02
 4.971924E-01  -3.725730E-07   3.768320E-02
 4.970703E-01  -3.725724E-07   3.932160E-02
 4.969482E-01  -3.725718E-07   4.096000E-02
 4.968262E-01  -3.725712E-07   4.259840E-02
 4.967041E-01  -3.725707E-07   4.423680E-02
 4.965820E-01  -3.725701E-07   4.587520E-02
 4.964600E-01  -3.725695E-07   4.751360E-02
 4.963379E-01  -3.725689E-07   4.915200E-02
 4.962158E-01  -3.725698E-07   5.079040E-02
 4.960938E-01  -3.725692E-07   5.242880E-02
 4.959717E-01  -3.725698E-07   5.406720E-02
 4.958496E-01  -3.725689E-07   5.570560E-02
 4.957275E-01  -3.725680E-07   5.734400E-02
 4.956055E-01  -3.725686E-07   5.898240E-02
 4.954834E-01  -3.725680E-07   6.062080E-02
 4.953613E-01  -3.725674E-07   6.225920E-02
 4.952393E-01  -3.725669E-07   6.389760E-02
 4.951172E-01  -3.725677E-07   6.553600E-02
 4.949951E-01  -3.725672E-07   6.717440E-02
 4.948730E-01  -3.725666E-07   6.881280E-02
 4.947510E-01  -3.725672E-07   7.045120E-02
 4.946289E-01  -3.725666E-07   7.208960E-02
 4.945068E-01  -3.725672E-07   7.372800E-02
 4.943848E-01  -3.725666E-07   7.536640E-02
 4.942627E-01  -3.725672E-07   7.700480E-02
 4.941406E-01  -3.725663E-07   7.864320E-02
 4.940186E-01  -3.725669E-07   8.028160E-02
 4.938965E-01  -3.725660E-07   8.192000E-02
 4.937744E-01  -3.725654E-07   8.355840E-02
 4.936523E-01  -3.725660E-07   8.519680E-02
 4.935303E-01  -3.725654E-07   8.683520E-02
 4.934082E-01  -3.725663E-07   8.847360E-02
 4.932861E-01  -3.725657E-07   9.011200E-02
 4.931641E-01  -3.725663E-07   9.175040E-02
 4.930420E-01  -3.725669E-07   9.338880E-02
 4.929199E-01  -3.725663E-07   9.502720E-02
 4.927979E-01  -3.725669E-07   9.666560E-02
 4.926758E-01  -3.725660E-07   9.830400E-02
 4.925537E-01  -3.725666E-07   9.994240E-02
 4.924316E-01  -3.725660E-07   1.015808E-01
 4.923096E-01  -3.725654E-07   1.032192E-01
 4.921875E-01  -3.725660E-07   1.048576E-01
 4.920654E-01  -3.725654E-07   1.064960E-01
 4.919434E-01  -3.725663E-07   1.081344E-01
 4.918213E-01  -3.725657E-07   1.097728E-01
 4.916992E-01  -3.725663E-07   1.114112E-01
 4.915771E-01  -3.725669E-07   1.130496E-01
 4.914551E-01  -3.725663E-07   1.146880E-01
 4.913330E-01  -3.725669E-07   1.163264E-01
 4.912109E-01  -3.725660E-07   1.179648E-01
 4.910889E-01  -3.725666E-07   1.196032E-01
 4.909668E-01  -3.725660E-07   1.212416E-01
 4.908447E-01  -3.725654E-07   1.228800E-01
 4.907227E-01  -3.725660E-07   1.245184E-01
 4.906006E-01  -3.725654E-07   1.261568E-01
 4.904785E-01  -3.725663E-07   1.277952E-01
 4.903564E-01  -3.725657E-07   1.294336E-01
 4.902344E-01  -3.725663E-07   1.310720E-01
 4.901123E-01  -3.725669E-07   1.327104E-01
 4.899902E-01  -3.725663E-07   1.343488E-01
 4.898682E-01  -3.725669E-07   1.359872E-01
 4.897461E-01  -3.725674E-07   1.376256E-01
 4.896240E-01  -3.725669E-07   1.392640E-01
 4.895020E-01  -3.725674E-07   1.409024E-01
 4.893799E-01  -3.725666E-07   1.425408E-01
 4.892578E-01  -3.725672E-07   1.441792E-01
 4.891357E-01  -3.725666E-07   1.458176E-01
 4.890137E-01  -3.725674E-07   1.474560E-01
 4.888916E-01  -3.725669E-07   1.490944E-01
 4.887695E-01  -3.725677E-07   1.507328E-01
 4.886475E-01  -3.725683E-07   1.523712E-01
 4.885254E-01  -3.725677E-07   1.540096E-01
 4.884033E-01  -3.725683E-07   1.556480E-01
 4.882812E-01  -3.725674E-07   1.572864E-01
 4.881592E-01  -3.725680E-07   1.589248E-01
 4.880371E-01  -3.725674E-07   1.605632E-01
 4.879150E-01  -3.725683E-07   1.622016E-01
 4.877930E-01  -3.725677E-07   1.638400E-01
 4.876709E-01  -3.725686E-07   1.654784E-01
 4.875488E-01  -3.725692E-07   1.671168E-01
 4.874268E-01  -3.725686E-07   1.687552E-01
 4.873047E-01  -3.725692E-07   1.703936E-01
 4.871826E-01  -3.725683E-07   1.720320E-01
 4.870605E-01  -3.725689E-07   1.736704E-01
 4.869385E-01  -3.725683E-07   1.753088E-01
 4.868164E-01  -3.725692E-07   1.769472E-01
 4.866943E-01  -3.725686E-07   1.785856E-01
 4.865723E-01  -3.725695E-07   1.802240E-01
 4.864502E-01  -3.725701E-07   1.818624E-01
 4.863281E-01  -3.725695E-07   1.835008E-01
 4.862061E-01  -3.725701E-07   1.851392E-01
 4.860840E-01  -3.725707E-07   1.867776E-01
 4.859619E-01  -3.725701E-07   1.884160E-01
 4.858398E-01  -3.725707E-07   1.900544E-01
 4.857178E-01  -3.725698E-07   1.916928E-01
 4.855957E-01  -3.725704E-07   1.933312E-01
 4.854736E-01  -3.725698E-07   1.949696E-01
 4.853516E-01  -3.725707E-07   1.966080E-01
 4.852295E-01  -3.725701E-07   1.982464E-01
 4.851074E-01  -3.725709E-07   1.998848E-01
 4.849854E-01  -3.725715E-07   2.015232E-01
 4.848633E-01  -3.725709E-07   2.031616E-01
 4.847412E-01  -3.725715E-07   2.048000E-01
 4.846191E-01  -3.725721E-07   2.064384E-01
 4.844971E-01  -3.725715E-07   2.080768E-01
 4.843750E-01  -3.725721E-07   2.097152E-01
 4.842529E-01  -3.725727E-07   2.113536E-01
 4.841309E-01  -3.725721E-07   2.129920E-01
 4.840088E-01  -3.725727E-07   2.146304E-01
 4.838867E-01  -3.725718E-07   2.162688E-01
 4.837646E-01  -3.725724E-07   2.179072E-01
 4.836426E-01  -3.725718E-07   2.195456E-01
 4.835205E-01  -3.725727E-07   2.211840E-01
 4.833984E-01  -3.725721E-07   2.228224E-01
 4.832764E-01  -3.725730E-07   2.244608E-01
 4.831543E-01  -3.725736E-07   2.260992E-01
 4.830322E-01  -3.725730E-07   2.277376E-01
